test_id,environment,timestamp,file_size_bytes,line_count,upload_time_ms,end_to_end_time_ms,processing_time_ms,status,error_message,cold_start
hmaendy4,aws,2025-12-01T09:28:28.387816,15510,100,373.29626083374023,3367.103099822998,494.0,success,,True
xl9k9kc4,aws,2025-12-01T09:28:32.756592,15502,100,160.70199012756348,1542.1319007873535,16.0,success,,True
1bxd09yw,aws,2025-12-01T09:28:35.306780,15515,100,160.86769104003906,1492.5241470336914,19.0,success,,False
psjp44ym,aws,2025-12-01T09:28:35.310569,15550,100,920.4668998718262,1936.331033706665,22.0,success,,False
izz38ytk,aws,2025-12-01T09:28:35.310392,15536,100,915.8551692962646,1954.6890258789062,18.0,success,,False
4cs6thsv,aws,2025-12-01T09:28:35.317101,15544,100,914.8309230804443,1953.467845916748,17.0,success,,False
9i4atjo5,aws,2025-12-01T09:28:35.311843,15511,100,719.1119194030762,2042.1040058135986,21.0,success,,False
0u13k9wj,aws,2025-12-01T09:28:35.306529,15512,100,914.2940044403076,2256.6802501678467,20.0,success,,False
0b5u14g6,aws,2025-12-01T09:28:35.308944,15509,100,800.3859519958496,2275.6569385528564,19.0,success,,False
py7u1w5o,aws,2025-12-01T09:28:35.312000,15538,100,895.0498104095459,2736.807346343994,18.0,success,,False
cgt96txj,aws,2025-12-01T09:28:35.313789,15524,100,885.9479427337646,2857.408046722412,545.0,success,,False
3ptpac2k,aws,2025-12-01T09:28:35.317478,15539,100,894.6471214294434,2870.7668781280518,19.0,success,,False
7z4anda2,aws,2025-12-01T09:28:38.200867,77708,500,215.2080535888672,910.6948375701904,28.0,success,,False
9m5bc2ww,aws,2025-12-01T09:28:38.199282,77605,500,225.74901580810547,919.5210933685303,22.0,success,,False
omqil84r,aws,2025-12-01T09:28:38.197590,77618,500,230.05414009094238,942.6801204681396,21.0,success,,False
os8inyhl,aws,2025-12-01T09:28:38.200830,77596,500,243.26181411743164,1578.0699253082275,22.0,success,,False
qfa3unhn,aws,2025-12-01T09:28:38.202334,77694,500,245.67580223083496,1733.4437370300293,22.0,success,,False
o86rzyv1,aws,2025-12-01T09:28:38.199245,77560,500,253.45873832702637,1790.0919914245605,29.0,success,,False
098myq3x,aws,2025-12-01T09:28:38.200854,77704,500,233.33001136779785,1879.4300556182861,22.0,success,,False
4137cg2i,aws,2025-12-01T09:28:38.196944,77602,500,234.9531650543213,1891.7350769042969,22.0,success,,False
ttv68tvr,aws,2025-12-01T09:28:38.193124,77726,500,243.47996711730957,2537.757158279419,23.0,success,,False
6vf3kod5,aws,2025-12-01T09:28:38.202327,77556,500,226.52101516723633,2518.9828872680664,22.0,success,,False
yzm0uds2,aws,2025-12-01T09:28:40.743617,155171,1000,354.0170192718506,1693.8202381134033,54.0,success,,False
8lz9gx30,aws,2025-12-01T09:28:40.756468,155207,1000,236.25612258911133,1883.8210105895996,19.0,success,,False
qzoqjzw2,aws,2025-12-01T09:28:40.751746,155103,1000,228.44719886779785,1886.4312171936035,32.0,success,,False
2e4gpzug,aws,2025-12-01T09:28:40.746950,155229,1000,228.6968231201172,1897.7887630462646,23.0,success,,False
pawp5wls,aws,2025-12-01T09:28:40.735537,155186,1000,296.0960865020752,2254.7881603240967,526.0,success,,False
27c0z3ws,aws,2025-12-01T09:28:40.751991,155283,1000,282.21583366394043,2242.497682571411,605.0,success,,False
h554c57i,aws,2025-12-01T09:28:40.746977,155372,1000,315.7827854156494,2290.9228801727295,25.0,success,,False
0ckqd221,aws,2025-12-01T09:28:40.740734,155282,1000,299.5641231536865,2574.9077796936035,28.0,success,,False
05cnwsxy,aws,2025-12-01T09:28:40.751601,155104,1000,263.9477252960205,2542.5617694854736,24.0,success,,False
xop0rzrv,aws,2025-12-01T09:28:40.746990,155287,1000,303.9398193359375,2584.3539237976074,33.0,success,,False
